letter_li,number_li
"['a', 'n', 'a', 't', 'o', 'l', 'e']","[2, 15, 2, 21, 16, 13, 6]"
"['a', 'n', 'a', 't', 'o', 'l', 'i', 'u', 's']","[2, 15, 2, 21, 16, 13, 10, 22, 20]"
"['a', 'n', 'c', 'i', 'e', 'n', ' ', 'r', 'é', 'g', 'i', 'm', 'e']","[2, 15, 4, 10, 6, 15, 0, 19, 36, 8, 10, 14, 6]"
"['a', 'n', 'd', 'r', 'e', 'a']","[2, 15, 5, 19, 6, 2]"
"['a', 'n', 'g', 'a', 'd', 'a']","[2, 15, 8, 2, 5, 2]"
"['a', 'n', 'g', 'e', 'l', 'o']","[2, 15, 8, 6, 13, 16]"
"['a', 'n', 'g', 'e', 'l', 'o', 'p', 'o', 'u', 'l', 'o', 's']","[2, 15, 8, 6, 13, 16, 17, 16, 22, 13, 16, 20]"
"['a', 'n', 'g', 'l', 'i', 'c', 'a', 'n']","[2, 15, 8, 13, 10, 4, 2, 15]"
"['a', 'n', 'g', 'l', 'i', 'c', 'a', 'n', 'i', 's', 'm']","[2, 15, 8, 13, 10, 4, 2, 15, 10, 20, 14]"
"['a', 'n', 'g', 'l', 'o', 'p', 'h', 'i', 'l', 'e']","[2, 15, 8, 13, 16, 17, 9, 10, 13, 6]"
"['a', 'n', 'g', 'r', 'a', ' ', 'm', 'a', 'i', 'n', 'y', 'u']","[2, 15, 8, 19, 2, 0, 14, 2, 10, 15, 26, 22]"
"['a', 'n', 'g', 'r', 'e', 'z']","[2, 15, 8, 19, 6, 27]"
"['a', 'n', 'i', 't', 'a']","[2, 15, 10, 21, 2]"
"['a', 'n', 'k', 'a', 'r', 'a']","[2, 15, 12, 2, 19, 2]"
"['a', 'n', 'n', 'a', 'b', 'e', 't', 'h']","[2, 15, 15, 2, 3, 6, 21, 9]"
"['a', 'n', 'n', 'e', 't', 't', 'e']","[2, 15, 15, 6, 21, 21, 6]"
"['a', 'n', 's', 'c', 'h', 'l', 'u', 's', 's']","[2, 15, 20, 4, 9, 13, 22, 20, 20]"
"['a', 'n', 't', 'a', 'r', 'c', 't', 'i', 'c', 'a']","[2, 15, 21, 2, 19, 4, 21, 10, 4, 2]"
"['a', 'n', 't', 'h', 'o', 'n', 'y']","[2, 15, 21, 9, 16, 15, 26]"
"['a', 'n', 't', 'i', 'g', 'u', 'a']","[2, 15, 21, 10, 8, 22, 2]"
"['a', 'n', 't', 'i', 'o', 'c', 'h', 'e', 'n', 'e']","[2, 15, 21, 10, 16, 4, 9, 6, 15, 6]"
"['a', 'n', 't', 'i', 'o', 'c', 'h', 'u', 's']","[2, 15, 21, 10, 16, 4, 9, 22, 20]"
"['a', 'n', 't', 'o', 'n', 'i', 'a']","[2, 15, 21, 16, 15, 10, 2]"
"['a', 'n', 't', 'o', 'n', 'i', 'n', 'a']","[2, 15, 21, 16, 15, 10, 15, 2]"
"['a', 'n', 'u', 'b', 'i', 's']","[2, 15, 22, 3, 10, 20]"
"['a', 'n', 'u', 'r', 'a', 'g']","[2, 15, 22, 19, 2, 8]"
"['a', 'n', 'w', 'a', 'r']","[2, 15, 24, 2, 19]"
"['a', 'o', 'k', 'i']","[2, 16, 12, 10]"
