letter_li,number_li
"['a', 'l', 'k', 'a', 'l', 'o', 'i', 'd']","[2, 13, 12, 2, 13, 16, 10, 5]"
"['a', 'l', 'k', 'a', 'l', 'o', 'i', 'd', 'a', 'l']","[2, 13, 12, 2, 13, 16, 10, 5, 2, 13]"
"['a', 'l', 'l', 'e', 'c', 't']","[2, 13, 13, 6, 4, 21]"
"['a', 'l', 'l', 'e', 'c', 't', 'a', 't', 'i', 'o', 'n']","[2, 13, 13, 6, 4, 21, 2, 21, 10, 16, 15]"
"['a', 'l', 'l', 'e', 'e']","[2, 13, 13, 6, 6]"
"['a', 'l', 'l', 'e', 'g', 'r', 'o']","[2, 13, 13, 6, 8, 19, 16]"
"['a', 'l', 'l', 'e', 'l', 'e']","[2, 13, 13, 6, 13, 6]"
"['a', 'l', 'l', 'e', 'l', 'i', 'c']","[2, 13, 13, 6, 13, 10, 4]"
"['a', 'l', 'l', 'e', 'l', 'o', 'm', 'o', 'r', 'p', 'h']","[2, 13, 13, 6, 13, 16, 14, 16, 19, 17, 9]"
"['a', 'l', 'l', 'e', 'l', 'o', 'm', 'o', 'r', 'p', 'h', 'i', 'c']","[2, 13, 13, 6, 13, 16, 14, 16, 19, 17, 9, 10, 4]"
"['a', 'l', 'l', 'e', 'l', 'o', 'p', 'a', 't', 'h', 'y']","[2, 13, 13, 6, 13, 16, 17, 2, 21, 9, 26]"
"['a', 'l', 'l', 'e', 'l', 'u', 'i', 'a', 't', 'i', 'c']","[2, 13, 13, 6, 13, 22, 10, 2, 21, 10, 4]"
"['a', 'l', 'l', 'e', 'r', 'g', 'i', 'c']","[2, 13, 13, 6, 19, 8, 10, 4]"
"['a', 'l', 'l', 'e', 'r', 'g', 'i', 'c', 'a', 'l', 'l', 'y']","[2, 13, 13, 6, 19, 8, 10, 4, 2, 13, 13, 26]"
"['a', 'l', 'l', 'e', 'r', 'g', 'y']","[2, 13, 13, 6, 19, 8, 26]"
"['a', 'l', 'l', 'e', 'r', 'g', 'y', 'l', 'i', 'k', 'e']","[2, 13, 13, 6, 19, 8, 26, 13, 10, 12, 6]"
"['a', 'l', 'l', 'i', 'c', 'i', 'n']","[2, 13, 13, 10, 4, 10, 15]"
"['a', 'l', 'l', 'i', 'g', 'a', 't', 'e']","[2, 13, 13, 10, 8, 2, 21, 6]"
"['a', 'l', 'l', 'i', 'g', 'a', 't', 'o', 'r']","[2, 13, 13, 10, 8, 2, 21, 16, 19]"
"['a', 'l', 'l', 'i', 'g', 'a', 't', 'o', 'r', 'e', 'd']","[2, 13, 13, 10, 8, 2, 21, 16, 19, 6, 5]"
"['a', 'l', 'l', 'i', 'g', 'a', 't', 'o', 'r', 'i', 'n', 'g']","[2, 13, 13, 10, 8, 2, 21, 16, 19, 10, 15, 8]"
"['a', 'l', 'l', 'i', 'g', 'a', 't', 'o', 'r', 'l', 'i', 'k', 'e']","[2, 13, 13, 10, 8, 2, 21, 16, 19, 13, 10, 12, 6]"
"['a', 'l', 'l', 'i', 's', 'i', 'o', 'n']","[2, 13, 13, 10, 20, 10, 16, 15]"
"['a', 'l', 'l', 'o', 'a', 'n', 't', 'i', 'g', 'e', 'n']","[2, 13, 13, 16, 2, 15, 21, 10, 8, 6, 15]"
"['a', 'l', 'l', 'o', 'c', 'a', 't', 'e']","[2, 13, 13, 16, 4, 2, 21, 6]"
"['a', 'l', 'l', 'o', 'c', 'a', 't', 'o', 'r']","[2, 13, 13, 16, 4, 2, 21, 16, 19]"
"['a', 'l', 'l', 'o', 'c', 'o', 'r', 't', 'e', 'x']","[2, 13, 13, 16, 4, 16, 19, 21, 6, 25]"
"['a', 'l', 'l', 'o', 'c', 'u', 't', 'i', 'o', 'n']","[2, 13, 13, 16, 4, 22, 21, 10, 16, 15]"
"['a', 'l', 'l', 'o', 'c', 'y', 'c', 'l', 'e']","[2, 13, 13, 16, 4, 26, 4, 13, 6]"
"['a', 'l', 'l', 'o', 'c', 'y', 'c', 'l', 'i', 'c']","[2, 13, 13, 16, 4, 26, 4, 13, 10, 4]"
"['a', 'l', 'l', 'o', 'e', 'r', 'o', 't', 'i', 'c']","[2, 13, 13, 16, 6, 19, 16, 21, 10, 4]"
"['a', 'l', 'l', 'o', 'e', 'r', 'o', 't', 'i', 'c', 'i', 's', 'm']","[2, 13, 13, 16, 6, 19, 16, 21, 10, 4, 10, 20, 14]"
"['a', 'l', 'l', 'o', 'm', 'e', 't', 'r', 'i', 'c']","[2, 13, 13, 16, 14, 6, 21, 19, 10, 4]"
"['a', 'l', 'l', 'o', 'n', 'y', 'm']","[2, 13, 13, 16, 15, 26, 14]"
"['a', 'l', 'l', 'o', 'p', 'a', 'r', 'e', 'n', 't']","[2, 13, 13, 16, 17, 2, 19, 6, 15, 21]"
"['a', 'l', 'l', 'o', 'p', 'a', 'r', 'e', 'n', 't', 'a', 'l']","[2, 13, 13, 16, 17, 2, 19, 6, 15, 21, 2, 13]"
"['a', 'l', 'l', 'o', 'q', 'u', 'y']","[2, 13, 13, 16, 18, 22, 26]"
"['a', 'l', 'l', 'o', 'y', 'a', 'g', 'e']","[2, 13, 13, 16, 26, 2, 8, 6]"
"['a', 'l', 'l', 'u', 's', 'i', 'o', 'n']","[2, 13, 13, 22, 20, 10, 16, 15]"
"['a', 'l', 'l', 'u', 'v', 'i', 'a', 'l']","[2, 13, 13, 22, 23, 10, 2, 13]"
"['a', 'l', 'l', 'u', 'v', 'i', 'o', 'u', 's']","[2, 13, 13, 22, 23, 10, 16, 22, 20]"
"['a', 'l', 'm', 'a', 'g', 'e', 's', 't']","[2, 13, 14, 2, 8, 6, 20, 21]"
"['a', 'l', 'm', 'a', 'g', 'r', 'a']","[2, 13, 14, 2, 8, 19, 2]"
"['a', 'l', 'o', 'g', 'y']","[2, 13, 16, 8, 26]"
"['a', 'l', 'o', 'h', 'a']","[2, 13, 16, 9, 2]"
"['a', 'l', 'o', 'o', ' ', 'g', 'o', 'b', 'i']","[2, 13, 16, 16, 0, 8, 16, 3, 10]"
"['a', 'l', 'o', 'p', 'e', 'c', 'i', 'a']","[2, 13, 16, 17, 6, 4, 10, 2]"
"['a', 'l', 'p', 'h', 'a', 'b', 'e', 't']","[2, 13, 17, 9, 2, 3, 6, 21]"
"['a', 'l', 'p', 'h', 'a', 'b', 'e', 't', 'a', 'r', 'i', 'a', 'n']","[2, 13, 17, 9, 2, 3, 6, 21, 2, 19, 10, 2, 15]"
"['a', 'l', 'p', 'h', 'a', 'b', 'e', 't', 'i', 'c', 'i', 'a', 'n']","[2, 13, 17, 9, 2, 3, 6, 21, 10, 4, 10, 2, 15]"
"['a', 'l', 'p', 'h', 'a', 'b', 'e', 't', 'i', 's', 'e']","[2, 13, 17, 9, 2, 3, 6, 21, 10, 20, 6]"
"['a', 'l', 'p', 'h', 'a', 'b', 'e', 't', 'i', 's', 'e', 'r']","[2, 13, 17, 9, 2, 3, 6, 21, 10, 20, 6, 19]"
"['a', 'l', 'p', 'h', 'a', 'm', 'e', 't', 'i', 'c']","[2, 13, 17, 9, 2, 14, 6, 21, 10, 4]"
"['a', 'l', 't', 'a', 'r']","[2, 13, 21, 2, 19]"
"['a', 'l', 't', 'a', 'r', 'i', 's', 't']","[2, 13, 21, 2, 19, 10, 20, 21]"
"['a', 'l', 't', 'a', 'r', 'l', 'i', 'k', 'e']","[2, 13, 21, 2, 19, 13, 10, 12, 6]"
"['a', 'l', 't', 'a', 'r', 'p', 'i', 'e', 'c', 'e']","[2, 13, 21, 2, 19, 17, 10, 6, 4, 6]"
"['a', 'l', 't', 'a', 'r', 'w', 'i', 's', 'e']","[2, 13, 21, 2, 19, 24, 10, 20, 6]"
"['a', 'l', 't', 'b', 'i', 'e', 'r']","[2, 13, 21, 3, 10, 6, 19]"
"['a', 'l', 't', 'e', 'r', 'a', 't', 'i', 'v', 'e']","[2, 13, 21, 6, 19, 2, 21, 10, 23, 6]"
"['a', 'l', 't', 'e', 'r', 'c', 'a', 't', 'i', 'o', 'n']","[2, 13, 21, 6, 19, 4, 2, 21, 10, 16, 15]"
"['a', 'l', 't', 'e', 'r', 'n', 'a', 't', 'e']","[2, 13, 21, 6, 19, 15, 2, 21, 6]"
"['a', 'l', 't', 'e', 'r', 'n', 'a', 't', 'e', 'l', 'y']","[2, 13, 21, 6, 19, 15, 2, 21, 6, 13, 26]"
"['a', 'l', 't', 'i', 's', 'o', 'n', 'o', 'u', 's']","[2, 13, 21, 10, 20, 16, 15, 16, 22, 20]"
"['a', 'l', 't', 'i', 's', 's', 'i', 'm', 'o']","[2, 13, 21, 10, 20, 20, 10, 14, 16]"
"['a', 'l', 't', 'i', 'v', 'o', 'l', 'a', 'n', 't']","[2, 13, 21, 10, 23, 16, 13, 2, 15, 21]"
"['a', 'l', 't', 'o']","[2, 13, 21, 16]"
"['a', 'l', 't', 'o', 'i', 's', 't']","[2, 13, 21, 16, 10, 20, 21]"
"['a', 'l', 'u', 'm']","[2, 13, 22, 14]"
"['a', 'l', 'u', 'm', 'i', 'n', 'i', 'u', 'm']","[2, 13, 22, 14, 10, 15, 10, 22, 14]"
"['a', 'l', 'u', 'm', 'i', 's', 'h']","[2, 13, 22, 14, 10, 20, 9]"
"['a', 'l', 'u', 'm', 'n', 'a']","[2, 13, 22, 14, 15, 2]"
"['a', 'l', 'u', 'm', 'n', 'i']","[2, 13, 22, 14, 15, 10]"
"['a', 'l', 'u', 't', 'a', 'c', 'e', 'o', 'u', 's']","[2, 13, 22, 21, 2, 4, 6, 16, 22, 20]"
"['a', 'l', 'v', 'e', 'o', 'l', 'u', 's']","[2, 13, 23, 6, 16, 13, 22, 20]"
"['a', 'l', 'y', 'm', 'p', 'h', 'o', 'c', 'y', 't', 'o', 's', 'i', 's']","[2, 13, 26, 14, 17, 9, 16, 4, 26, 21, 16, 20, 10, 20]"
"['a', 'm', 'a', 'b', 'i', 'l', 'i', 't', 'y']","[2, 14, 2, 3, 10, 13, 10, 21, 26]"
"['a', 'm', 'a', 'd', 'a', 'w', 'n']","[2, 14, 2, 5, 2, 24, 15]"
"['a', 'm', 'a', 'h']","[2, 14, 2, 9]"
"['a', 'm', 'a', 'l', 'a']","[2, 14, 2, 13, 2]"
"['a', 'm', 'a', 'l', 'g', 'a', 'm']","[2, 14, 2, 13, 8, 2, 14]"
"['a', 'm', 'a', 'l', 'g', 'a', 'm', 'a', 't', 'i', 'o', 'n']","[2, 14, 2, 13, 8, 2, 14, 2, 21, 10, 16, 15]"
"['a', 'm', 'a', 'n', 'd', 'i', 'n', 'e']","[2, 14, 2, 15, 5, 10, 15, 6]"
"['a', 'm', 'a', 'n', 'u', 'e', 'n', 's', 'i', 's']","[2, 14, 2, 15, 22, 6, 15, 20, 10, 20]"
"['a', 'm', 'a', 'r', 'a', 'n', 't', 'h']","[2, 14, 2, 19, 2, 15, 21, 9]"
"['a', 'm', 'a', 'r', 'e', 't', 't', 'o']","[2, 14, 2, 19, 6, 21, 21, 16]"
"['a', 'm', 'a', 'r', 'i', 't', 'u', 'd', 'e']","[2, 14, 2, 19, 10, 21, 22, 5, 6]"
"['a', 'm', 'a', 's', 'i']","[2, 14, 2, 20, 10]"
"['a', 'm', 'a', 's', 's']","[2, 14, 2, 20, 20]"
"['a', 'm', 'a', 's', 's', 'a', 'b', 'l', 'e']","[2, 14, 2, 20, 20, 2, 3, 13, 6]"
"['a', 'm', 'a', 't', 'e', 'u', 'r']","[2, 14, 2, 21, 6, 22, 19]"
"['a', 'm', 'a', 't', 'e', 'u', 'r', 'i', 's', 'h']","[2, 14, 2, 21, 6, 22, 19, 10, 20, 9]"
"['a', 'm', 'a', 't', 'e', 'u', 'r', 'i', 's', 'm']","[2, 14, 2, 21, 6, 22, 19, 10, 20, 14]"
"['a', 'm', 'a', 't', 'e', 'u', 'r', 's', 'h', 'i', 'p']","[2, 14, 2, 21, 6, 22, 19, 20, 9, 10, 17]"
"['a', 'm', 'a', 't', 'i', 'v', 'e']","[2, 14, 2, 21, 10, 23, 6]"
"['a', 'm', 'a', 't', 'i', 'v', 'e', 'n', 'e', 's', 's']","[2, 14, 2, 21, 10, 23, 6, 15, 6, 20, 20]"
"['a', 'm', 'a', 't', 'o', 'r', 'i', 'o', 'u', 's']","[2, 14, 2, 21, 16, 19, 10, 16, 22, 20]"
"['a', 'm', 'a', 'z', 'a', 'k', 'e']","[2, 14, 2, 27, 2, 12, 6]"
"['a', 'm', 'b', 'a', 'n']","[2, 14, 3, 2, 15]"
"['a', 'm', 'b', 'a', 's', 's', 'a', 'd', 'e']","[2, 14, 3, 2, 20, 20, 2, 5, 6]"
"['a', 'm', 'b', 'i', 'a', 'n', 'c', 'e']","[2, 14, 3, 10, 2, 15, 4, 6]"
"['a', 'm', 'b', 'i', 'd', 'e', 'x', 't', 'e', 'r']","[2, 14, 3, 10, 5, 6, 25, 21, 6, 19]"
"['a', 'm', 'b', 'i', 'e', 'n', 't']","[2, 14, 3, 10, 6, 15, 21]"
"['a', 'm', 'b', 'i', 'g', 'u', 'o', 'u', 's']","[2, 14, 3, 10, 8, 22, 16, 22, 20]"
"['a', 'm', 'b', 'i', 'g', 'u', 'o', 'u', 's', 'l', 'y']","[2, 14, 3, 10, 8, 22, 16, 22, 20, 13, 26]"
"['a', 'm', 'b', 'i', 'l', 'a', 't', 'e', 'r', 'a', 'l']","[2, 14, 3, 10, 13, 2, 21, 6, 19, 2, 13]"
"['a', 'm', 'b', 'i', 'l', 'i', 'n', 'e', 'a', 'l']","[2, 14, 3, 10, 13, 10, 15, 6, 2, 13]"
"['a', 'm', 'b', 'i', 'p', 'o', 's', 'i', 't', 'i', 'o', 'n']","[2, 14, 3, 10, 17, 16, 20, 10, 21, 10, 16, 15]"
"['a', 'm', 'b', 'i', 's', 'e', 'x', 'u', 'a', 'l']","[2, 14, 3, 10, 20, 6, 25, 22, 2, 13]"
"['a', 'm', 'b', 'i', 't']","[2, 14, 3, 10, 21]"
"['a', 'm', 'b', 'i', 't', 'r', 'a', 'n', 's', 'i', 't', 'i', 'v', 'e']","[2, 14, 3, 10, 21, 19, 2, 15, 20, 10, 21, 10, 23, 6]"
"['a', 'm', 'b', 'i', 't', 'r', 'a', 'n', 's', 'i', 't', 'i', 'v', 'i', 't', 'y']","[2, 14, 3, 10, 21, 19, 2, 15, 20, 10, 21, 10, 23, 10, 21, 26]"
"['a', 'm', 'b', 'i', 't', 'u', 's']","[2, 14, 3, 10, 21, 22, 20]"
"['a', 'm', 'b', 'i', 'v', 'a', 'l', 'e', 'n', 'c', 'e']","[2, 14, 3, 10, 23, 2, 13, 6, 15, 4, 6]"
"['a', 'm', 'b', 'i', 'v', 'a', 'l', 'e', 'n', 't']","[2, 14, 3, 10, 23, 2, 13, 6, 15, 21]"
"['a', 'm', 'b', 'o']","[2, 14, 3, 16]"
"['a', 'm', 'b', 'r', 'o', 's', 'i', 'a']","[2, 14, 3, 19, 16, 20, 10, 2]"
"['a', 'm', 'b', 'r', 'o', 's', 'i', 'a', 'l']","[2, 14, 3, 19, 16, 20, 10, 2, 13]"
"['a', 'm', 'b', 'r', 'y']","[2, 14, 3, 19, 26]"
"['a', 'm', 'b', 'u', 'l', 'a', 'c', 'r', 'u', 'm']","[2, 14, 3, 22, 13, 2, 4, 19, 22, 14]"
"['a', 'm', 'b', 'u', 'l', 'a', 'n', 'c', 'e']","[2, 14, 3, 22, 13, 2, 15, 4, 6]"
"['a', 'm', 'b', 'u', 'l', 'a', 'n', 't']","[2, 14, 3, 22, 13, 2, 15, 21]"
"['a', 'm', 'b', 'u', 'l', 'a', 't', 'e']","[2, 14, 3, 22, 13, 2, 21, 6]"
"['a', 'm', 'b', 'u', 'l', 'a', 't', 'o', 'r', 'y']","[2, 14, 3, 22, 13, 2, 21, 16, 19, 26]"
"['a', 'm', 'b', 'u', 'l', 'e', 't', 't', 'e']","[2, 14, 3, 22, 13, 6, 21, 21, 6]"
"['a', 'm', 'b', 'u', 's', 'c', 'a', 'd', 'e']","[2, 14, 3, 22, 20, 4, 2, 5, 6]"
"['a', 'm', 'b', 'u', 's', 'c', 'a', 'd', 'e', 'r']","[2, 14, 3, 22, 20, 4, 2, 5, 6, 19]"
"['a', 'm', 'b', 'u', 's', 't', 'i', 'o', 'n']","[2, 14, 3, 22, 20, 21, 10, 16, 15]"
"['a', 'm', 'e', 'l', 'i', 'o', 'r', 'a', 't', 'i', 'o', 'n']","[2, 14, 6, 13, 10, 16, 19, 2, 21, 10, 16, 15]"
"['a', 'm', 'e', 'l', 'o', 'c', 'e', 'm', 'e', 'n', 't', 'a', 'l']","[2, 14, 6, 13, 16, 4, 6, 14, 6, 15, 21, 2, 13]"
"['a', 'm', 'e', 'n']","[2, 14, 6, 15]"
"['a', 'm', 'e', 'n', 'd', 'm', 'e', 'n', 't']","[2, 14, 6, 15, 5, 14, 6, 15, 21]"
"['a', 'm', 'e', 'n', 'd', 's']","[2, 14, 6, 15, 5, 20]"
"['a', 'm', 'e', 'n', 'e']","[2, 14, 6, 15, 6]"
"['a', 'm', 'e', 'n', 'i', 't', 'i', 'e', 's']","[2, 14, 6, 15, 10, 21, 10, 6, 20]"
"['a', 'm', 'e', 'n', 'i', 't', 'y']","[2, 14, 6, 15, 10, 21, 26]"
"['a', 'm', 'e', 'n', 't', 'i', 'a']","[2, 14, 6, 15, 21, 10, 2]"
"['a', 'm', 'e', 'r', 'c', 'e']","[2, 14, 6, 19, 4, 6]"
"['a', 'm', 'e', 'r', 'c', 'e', 'a', 'b', 'l', 'e']","[2, 14, 6, 19, 4, 6, 2, 3, 13, 6]"
"['a', 'm', 'e', 'r', 'c', 'e', 'm', 'e', 'n', 't']","[2, 14, 6, 19, 4, 6, 14, 6, 15, 21]"
"['a', 'm', 'e', 'r', 'c', 'e', 'r']","[2, 14, 6, 19, 4, 6, 19]"
"['a', 'm', 'e', 'r', 'c', 'i', 'a', 'm', 'e', 'n', 't']","[2, 14, 6, 19, 4, 10, 2, 14, 6, 15, 21]"
"['a', 'm', 'i', 'c', 'a', 'l']","[2, 14, 10, 4, 2, 13]"
"['a', 'm', 'i', 'n', 'o', 'a', 'd', 'i', 'p', 'i', 'c']","[2, 14, 10, 15, 16, 2, 5, 10, 17, 10, 4]"
"['a', 'm', 'i', 'n', 'o', 'c', 'a', 'p', 'r', 'o', 'i', 'c']","[2, 14, 10, 15, 16, 4, 2, 17, 19, 16, 10, 4]"
"['a', 'm', 'i', 'n', 'o', 'p', 'l', 'a', 's', 't', 'i', 'c']","[2, 14, 10, 15, 16, 17, 13, 2, 20, 21, 10, 4]"
"['a', 'm', 'i', 't']","[2, 14, 10, 21]"
"['a', 'm', 'i', 't', 'o', 's', 'i', 's']","[2, 14, 10, 21, 16, 20, 10, 20]"
"['a', 'm', 'i', 'u', 'c', 'h', 'i']","[2, 14, 10, 22, 4, 9, 10]"
"['a', 'm', 'm', 'a']","[2, 14, 14, 2]"
"['a', 'm', 'm', 'o', 'd', 'y', 't', 'e']","[2, 14, 14, 16, 5, 26, 21, 6]"
"['a', 'm', 'm', 'o', 'n', 'i', 't', 'e']","[2, 14, 14, 16, 15, 10, 21, 6]"
"['a', 'm', 'm', 'o', 'n', 'i', 't', 'i', 'f', 'e', 'r', 'o', 'u', 's']","[2, 14, 14, 16, 15, 10, 21, 10, 7, 6, 19, 16, 22, 20]"
"['a', 'm', 'm', 'u', 'n', 'i', 't', 'i', 'o', 'n']","[2, 14, 14, 22, 15, 10, 21, 10, 16, 15]"
"['a', 'm', 'm', 'u', 'n', 'i', 't', 'i', 'o', 'n', 'l', 'e', 's', 's']","[2, 14, 14, 22, 15, 10, 21, 10, 16, 15, 13, 6, 20, 20]"
"['a', 'm', 'n', 'i', 'o', 'i', 'n', 'f', 'u', 's', 'i', 'o', 'n']","[2, 14, 15, 10, 16, 10, 15, 7, 22, 20, 10, 16, 15]"
"['a', 'm', 'o', 'd', 'a', 'l']","[2, 14, 16, 5, 2, 13]"
"['a', 'm', 'o', 'r', 'o', 's', 'a']","[2, 14, 16, 19, 16, 20, 2]"
"['a', 'm', 'o', 't', 'i', 'o', 'n']","[2, 14, 16, 21, 10, 16, 15]"
"['a', 'm', 'o', 'u', 'r']","[2, 14, 16, 22, 19]"
"['a', 'm', 'o', 'u', 'r', ' ', 'p', 'r', 'o', 'p', 'r', 'e']","[2, 14, 16, 22, 19, 0, 17, 19, 16, 17, 19, 6]"
"['a', 'm', 'p', 'e', 'l', 'i', 't', 'e']","[2, 14, 17, 6, 13, 10, 21, 6]"
"['a', 'm', 'p', 'h', 'i', 'b', 'o', 'l', 'o', 'g', 'i', 'a']","[2, 14, 17, 9, 10, 3, 16, 13, 16, 8, 10, 2]"
"['a', 'm', 'p', 'h', 'i', 'b', 'o', 'l', 'o', 'g', 'i', 'c', 'a', 'l']","[2, 14, 17, 9, 10, 3, 16, 13, 16, 8, 10, 4, 2, 13]"
"['a', 'm', 'p', 'h', 'i', 'b', 'o', 'l', 'o', 'g', 'y']","[2, 14, 17, 9, 10, 3, 16, 13, 16, 8, 26]"
"['a', 'm', 'p', 'h', 'i', 'b', 'o', 'l', 'o', 'u', 's']","[2, 14, 17, 9, 10, 3, 16, 13, 16, 22, 20]"
"['a', 'm', 'p', 'h', 'i', 'b', 'r', 'a', 'c', 'h']","[2, 14, 17, 9, 10, 3, 19, 2, 4, 9]"
"['a', 'm', 'p', 'h', 'i', 'b', 'r', 'a', 'c', 'h', 'i', 'c']","[2, 14, 17, 9, 10, 3, 19, 2, 4, 9, 10, 4]"
"['a', 'm', 'p', 'h', 'i', 'g', 'o', 'r', 'y']","[2, 14, 17, 9, 10, 8, 16, 19, 26]"
"['a', 'm', 'p', 'h', 'i', 'p', 'r', 'o', 's', 't', 'y', 'l', 'e']","[2, 14, 17, 9, 10, 17, 19, 16, 20, 21, 26, 13, 6]"
"['a', 'm', 'p', 'h', 'i', 's', 'b', 'a', 'e', 'n', 'a']","[2, 14, 17, 9, 10, 20, 3, 2, 6, 15, 2]"
"['a', 'm', 'p', 'h', 'i', 's', 'b', 'a', 'e', 'n', 'o', 'i', 'd']","[2, 14, 17, 9, 10, 20, 3, 2, 6, 15, 16, 10, 5]"
"['a', 'm', 'p', 'h', 'i', 's', 'b', 'æ', 'n', 'a']","[2, 14, 17, 9, 10, 20, 3, 33, 15, 2]"
"['a', 'm', 'p', 'h', 'i', 't', 'h', 'e', 'a', 't', 'r', 'a', 'l']","[2, 14, 17, 9, 10, 21, 9, 6, 2, 21, 19, 2, 13]"
"['a', 'm', 'p', 'h', 'i', 't', 'h', 'e', 'a', 't', 'r', 'e']","[2, 14, 17, 9, 10, 21, 9, 6, 2, 21, 19, 6]"
"['a', 'm', 'p', 'h', 'i', 't', 'h', 'e', 'a', 't', 'r', 'i', 'c']","[2, 14, 17, 9, 10, 21, 9, 6, 2, 21, 19, 10, 4]"
"['a', 'm', 'p', 'h', 'o', 'r', 'a']","[2, 14, 17, 9, 16, 19, 2]"
"['a', 'm', 'p', 'h', 'o', 'r', 'a', 'l', 'i', 'k', 'e']","[2, 14, 17, 9, 16, 19, 2, 13, 10, 12, 6]"
"['a', 'm', 'p', 'h', 'o', 'r', 'i', 'c']","[2, 14, 17, 9, 16, 19, 10, 4]"
"['a', 'm', 'p', 'l', 'e', 'x', 'i', 'f', 'o', 'r', 'm']","[2, 14, 17, 13, 6, 25, 10, 7, 16, 19, 14]"
"['a', 'm', 'p', 'l', 'i', 'a', 't', 'i', 'o']","[2, 14, 17, 13, 10, 2, 21, 10, 16]"
"['a', 'm', 'p', 'l', 'i', 'f', 'i', 'c', 'a', 't', 'i', 'o', 'n']","[2, 14, 17, 13, 10, 7, 10, 4, 2, 21, 10, 16, 15]"
"['a', 'm', 'p', 'u', 'l', 'l', 'a']","[2, 14, 17, 22, 13, 13, 2]"
"['a', 'm', 'p', 'u', 't', 'a', 't', 'e']","[2, 14, 17, 22, 21, 2, 21, 6]"
"['a', 'm', 'p', 'u', 't', 'a', 't', 'i', 'o', 'n']","[2, 14, 17, 22, 21, 2, 21, 10, 16, 15]"
"['a', 'm', 'p', 'u', 't', 'e', 'e']","[2, 14, 17, 22, 21, 6, 6]"
"['a', 'm', 'u', 'r', 'c', 'a']","[2, 14, 22, 19, 4, 2]"
"['a', 'm', 'y', 'l', 'a', 'c', 'e', 'o', 'u', 's']","[2, 14, 26, 13, 2, 4, 6, 16, 22, 20]"
"['a', 'n', 'a', 'c', 'h', 'r', 'o', 'n', 'i', 's', 'm']","[2, 15, 2, 4, 9, 19, 16, 15, 10, 20, 14]"
"['a', 'n', 'a', 'c', 'o', 'l', 'p', 'a', 't', 'e']","[2, 15, 2, 4, 16, 13, 17, 2, 21, 6]"
"['a', 'n', 'a', 'c', 'o', 'l', 'u', 't', 'h', 'o', 'n']","[2, 15, 2, 4, 16, 13, 22, 21, 9, 16, 15]"
"['a', 'n', 'a', 'c', 'o', 'u', 's', 't', 'i', 'c']","[2, 15, 2, 4, 16, 22, 20, 21, 10, 4]"
"['a', 'n', 'a', 'd', 'e', 'm']","[2, 15, 2, 5, 6, 14]"
"['a', 'n', 'a', 'e', 'r', 'o', 'b', 'i', 'c']","[2, 15, 2, 6, 19, 16, 3, 10, 4]"
"['a', 'n', 'a', 'g', 'o', 'g', 'e']","[2, 15, 2, 8, 16, 8, 6]"
"['a', 'n', 'a', 'l', 'l', 'o', 'e', 'r', 'o', 't', 'i', 'c']","[2, 15, 2, 13, 13, 16, 6, 19, 16, 21, 10, 4]"
"['a', 'n', 'a', 'l', 'o', 'g', 'i', 's', 't']","[2, 15, 2, 13, 16, 8, 10, 20, 21]"
"['a', 'n', 'a', 'l', 'o', 'g', 'i', 'z', 'a', 'b', 'l', 'e']","[2, 15, 2, 13, 16, 8, 10, 27, 2, 3, 13, 6]"
"['a', 'n', 'a', 'l', 'o', 'g', 'i', 'z', 'a', 't', 'i', 'o', 'n']","[2, 15, 2, 13, 16, 8, 10, 27, 2, 21, 10, 16, 15]"
"['a', 'n', 'a', 'l', 'o', 'g', 'i', 'z', 'e']","[2, 15, 2, 13, 16, 8, 10, 27, 6]"
"['a', 'n', 'a', 'l', 'o', 'g', 'o', 'u', 's']","[2, 15, 2, 13, 16, 8, 16, 22, 20]"
"['a', 'n', 'a', 'l', 'o', 'g', 'o', 'u', 's', 'n', 'e', 's', 's']","[2, 15, 2, 13, 16, 8, 16, 22, 20, 15, 6, 20, 20]"
"['a', 'n', 'a', 'l', 'o', 'g', 'y']","[2, 15, 2, 13, 16, 8, 26]"
"['a', 'n', 'a', 'l', 'y', 's', 'i', 's']","[2, 15, 2, 13, 26, 20, 10, 20]"
"['a', 'n', 'a', 'l', 'y', 's', 't']","[2, 15, 2, 13, 26, 20, 21]"
"['a', 'n', 'a', 'n', 'g', 'u', 'l', 'a', 'r']","[2, 15, 2, 15, 8, 22, 13, 2, 19]"
"['a', 'n', 'a', 'p', 'e', 's', 't']","[2, 15, 2, 17, 6, 20, 21]"
"['a', 'n', 'a', 'r', 'c', 'h', 'i', 'c']","[2, 15, 2, 19, 4, 9, 10, 4]"
"['a', 'n', 'a', 'r', 'c', 'h', 'i', 'c', 'a', 'l']","[2, 15, 2, 19, 4, 9, 10, 4, 2, 13]"
"['a', 'n', 'a', 'r', 'c', 'h', 'i', 'c', 'a', 'l', 'l', 'y']","[2, 15, 2, 19, 4, 9, 10, 4, 2, 13, 13, 26]"
"['a', 'n', 'a', 'r', 'c', 'h', 'i', 's', 'm']","[2, 15, 2, 19, 4, 9, 10, 20, 14]"
"['a', 'n', 'a', 'r', 'c', 'h', 'i', 's', 't']","[2, 15, 2, 19, 4, 9, 10, 20, 21]"
"['a', 'n', 'a', 'r', 'c', 'h', 'i', 'z', 'e']","[2, 15, 2, 19, 4, 9, 10, 27, 6]"
