word,origin,full_name,Group,word_len
dhenuka,san,Sanskrit,Other,7
diablo,fra,French,Latin,6
didymoteicho,ell,Modern Greek,Other,12
dilazak,urd,Urdu,Other,7
dilzak,urd,Urdu,Other,6
dima,rus,Russian,Other,4
diocletian,lat,Latin,Latin,10
diphda,ara,Arabic,Arabic,6
directoire,fra,French,Latin,10
discordia,lat,Latin,Latin,9
dixiecrat,fra,French,Latin,9
dmitry,rus,Russian,Other,6
dnipropetrovsk,ukr,Ukrainian,Other,14
dolores,spa,Spanish; Castilian,Latin,7
donatist,lat,Latin,Latin,8
donbas,ukr,Ukrainian,Other,6
donetsk,ukr,Ukrainian,Other,7
dorcha,gla,Gaelic; Scottish Gaelic,Germanic,6
dos a dos,fra,French,Latin,9
dougal,gla,Gaelic; Scottish Gaelic,Germanic,6
draco,lat,Latin,Latin,5
draskhanakert,hye,Armenian,Other,13
dravidian,san,Sanskrit,Other,9
drew,xno,Anglo-Norman,Germanic,4
dror,heb,Hebrew,Other,4
drusilla,lat,Latin,Latin,8
dschubba,ara,Arabic,Arabic,8
dunkirk,nld,Dutch;Flemish,Germanic,7
dwadashi,san,Sanskrit,Other,8
dwitiya,san,Sanskrit,Other,7
dyaus pita,san,Sanskrit,Other,10
dyngus day,pol,Polish,Other,10
dzūkija,lit,Lithuanian,Other,7
elot,ell,Modern Greek,Other,4
ebenezer,heb,Hebrew,Other,8
ecbatana,lat,Latin,Latin,8
echo,lat,Latin,Latin,4
ecuador,spa,Spanish; Castilian,Latin,7
eden,heb,Hebrew,Other,4
edenic,heb,Hebrew,Other,6
edenize,heb,Hebrew,Other,7
edenlike,heb,Hebrew,Other,8
eid,ara,Arabic,Arabic,3
eindhoven,nld,Dutch;Flemish,Germanic,9
eire,gle,Irish,Other,4
ekadashi,san,Sanskrit,Other,8
el salvador,spa,Spanish; Castilian,Latin,11
eleatic,lat,Latin,Latin,7
eleazar,heb,Hebrew,Other,7
eliel,heb,Hebrew,Other,5
eliezer,heb,Hebrew,Other,7
elijah,heb,Hebrew,Other,6
elliniko,ell,Modern Greek,Other,8
eloise,fra,French,Latin,6
elsa,deu,German,Germanic,4
emerson,fra,French,Latin,7
emersonian,fra,French,Latin,10
emil,deu,German,Germanic,4
emmerson,fra,French,Latin,8
emon,mah,Marshallese,Other,4
encratite,lat,Latin,Latin,9
endoeuropean,fra,French,Latin,12
enif,ara,Arabic,Arabic,4
enna,ita,Italian,Latin,4
enoch,lat,Latin,Latin,5
enosis,ell,Modern Greek,Other,6
enûma eliš,akk,Akkadian,Other,10
ephraim,heb,Hebrew,Other,7
epicurean,lat,Latin,Latin,9
epicurus,lat,Latin,Latin,8
epirus,lat,Latin,Latin,6
equuleus,lat,Latin,Latin,8
erdoğan,tur,Turkish,Other,7
eric,gle,Irish,Other,4
eridanus,lat,Latin,Latin,8
eritrea,lat,Latin,Latin,7
esau,heb,Hebrew,Other,4
esbjerg,dan,Danish,Germanic,7
escaut,fra,French,Latin,6
esmeralda,spa,Spanish; Castilian,Latin,9
esperantism,epo,Esperanto,Other,11
esperantist,epo,Esperanto,Other,11
esperanto,epo,Esperanto,Other,9
ethan,heb,Hebrew,Other,5
etnean,lat,Latin,Latin,6
eurabia,lat,Latin,Latin,7
eurocrat,fra,French,Latin,8
eurodeputy,fra,French,Latin,10
eurodollar,nld,Dutch;Flemish,Germanic,10
european,fra,French,Latin,8
europeanism,fra,French,Latin,11
europeanist,fra,French,Latin,11
europeanly,fra,French,Latin,10
europeanness,fra,French,Latin,12
europessimism,lat,Latin,Latin,13
euroregion,xno,Anglo-Norman,Germanic,10
eurovision,lat,Latin,Latin,10
eurydice,lat,Latin,Latin,8
evita,spa,Spanish; Castilian,Latin,5
ewan,gla,Gaelic; Scottish Gaelic,Germanic,4
exocet,fra,French,Latin,6
fabian,lat,Latin,Latin,6
fabius,lat,Latin,Latin,6
falcidian,lat,Latin,Latin,9
farhud,ara,Arabic,Arabic,6
faro,por,Portuguese,Latin,4
farsala,lat,Latin,Latin,7
fatah,ara,Arabic,Arabic,5
faunus,lat,Latin,Latin,6
fayum,ara,Arabic,Arabic,5
fedex,fra,French,Latin,5
felix,lat,Latin,Latin,5
